DateTime,fdom,
4/30/2022 22:00,14.715,0.397971602
4/30/2022 22:15,14.735,0.398512508
4/30/2022 22:30,14.77,0.399459094
4/30/2022 22:45,14.79,0.4
4/30/2022 23:00,14.8,0.400270453
4/30/2022 23:15,14.81,0.400540906
4/30/2022 23:30,14.805,0.40040568
4/30/2022 23:45,14.845,0.401487492
5/1/2022 0:00,14.865,0.402028398
5/1/2022 0:15,14.845,0.401487492
5/1/2022 0:30,14.86,0.401893171
5/1/2022 0:45,14.88,0.402434077
5/1/2022 1:00,14.955,0.404462475
5/1/2022 1:15,14.95,0.404327248
5/1/2022 1:30,14.975,0.405003381
5/1/2022 1:45,14.96,0.404597701
5/1/2022 2:00,15.005,0.40581474
5/1/2022 2:15,15.01,0.405949966
5/1/2022 2:30,15.08,0.407843137
5/1/2022 2:45,15.09,0.40811359
5/1/2022 3:00,15.06,0.407302231
5/1/2022 3:15,15.055,0.407167005
5/1/2022 3:30,15.045,0.406896552
5/1/2022 3:45,15.05,0.407031778
5/1/2022 4:00,15.03,0.406490872
5/1/2022 4:15,15.055,0.407167005
5/1/2022 4:30,15.06,0.407302231
5/1/2022 4:45,15.04,0.406761325
5/1/2022 5:00,15.05,0.407031778
5/1/2022 5:15,15.01,0.405949966
5/1/2022 5:30,15.07,0.407572684
5/1/2022 5:45,15.12,0.408924949
5/1/2022 6:00,15.165,0.410141988
5/1/2022 6:15,15.21,0.411359026
5/1/2022 6:30,15.33,0.414604462
5/1/2022 6:45,15.155,0.409871535
5/1/2022 7:00,15.405,0.41663286
5/1/2022 7:15,15.36,0.415415822
5/1/2022 7:30,15.435,0.417444219
5/1/2022 7:45,15.43,0.417308993
5/1/2022 8:00,15.4,0.416497634
5/1/2022 8:15,15.44,0.417579446
5/1/2022 8:30,15.435,0.417444219
5/1/2022 8:45,15.42,0.41703854
5/1/2022 9:00,15.375,0.415821501
5/1/2022 9:15,15.34,0.414874915
5/1/2022 9:30,15.27,0.412981744
5/1/2022 9:45,15.235,0.412035159
5/1/2022 10:00,14.87,0.402163624
5/1/2022 10:15,15.16,0.410006761
5/1/2022 10:30,15.08,0.407843137
5/1/2022 10:45,15.055,0.407167005
5/1/2022 11:00,15.14,0.409465855
5/1/2022 11:15,15.1,0.408384043
5/1/2022 11:30,14.93,0.403786342
5/1/2022 11:45,14.84,0.401352265
5/1/2022 12:00,14.66,0.396484111
5/1/2022 12:15,14.59,0.39459094
5/1/2022 12:30,14.74,0.398647735
5/1/2022 12:45,14.55,0.393509128
5/1/2022 13:00,14.495,0.392021636
5/1/2022 13:15,14.215,0.384448952
5/1/2022 13:30,14.54,0.393238675
5/1/2022 13:45,14.21,0.384313725
5/1/2022 14:00,14.47,0.391345504
5/1/2022 14:15,14.52,0.392697769
5/1/2022 14:30,14.43,0.390263692
5/1/2022 14:45,14.58,0.394320487
5/1/2022 15:00,14.605,0.394996619
5/1/2022 15:15,14.5,0.392156863
5/1/2022 15:30,14.6,0.394861393
5/1/2022 15:45,14.62,0.395402299
5/1/2022 16:00,14.735,0.398512508
5/1/2022 16:15,14.72,0.398106829
5/1/2022 16:30,14.71,0.397836376
5/1/2022 16:45,14.66,0.396484111
5/1/2022 17:00,14.64,0.395943205
5/1/2022 17:15,14.67,0.396754564
5/1/2022 17:30,14.69,0.39729547
5/1/2022 17:45,14.67,0.396754564
5/1/2022 18:00,14.66,0.396484111
5/1/2022 18:15,14.65,0.396213658
5/1/2022 18:30,14.645,0.396078431
5/1/2022 18:45,14.61,0.395131846
5/1/2022 19:00,14.72,0.398106829
5/1/2022 19:15,14.71,0.397836376
5/1/2022 19:30,14.79,0.4
5/1/2022 19:45,14.75,0.398918188
5/1/2022 20:00,14.7,0.397565923
5/1/2022 20:15,14.48,0.391615957
5/1/2022 20:30,14.55,0.393509128
5/1/2022 20:45,14.38,0.388911427
5/1/2022 21:00,14.275,0.38607167
5/1/2022 21:15,14.32,0.387288709
5/1/2022 21:30,14.26,0.385665991
5/1/2022 21:45,14.19,0.383772819
5/1/2022 22:00,14.215,0.384448952
5/1/2022 22:15,14.22,0.384584178
5/1/2022 22:30,14.215,0.384448952
5/1/2022 22:45,14.19,0.383772819
5/1/2022 23:00,14.185,0.383637593
5/1/2022 23:15,14.21,0.384313725
5/1/2022 23:30,14.22,0.384584178
5/1/2022 23:45,14.21,0.384313725
5/2/2022 0:00,14.215,0.384448952
5/2/2022 0:15,14.205,0.384178499
5/2/2022 0:30,14.18,0.383502366
5/2/2022 0:45,14.225,0.384719405
5/2/2022 1:00,14.255,0.385530764
5/2/2022 1:15,14.12,0.381879648
5/2/2022 1:30,14.29,0.38647735
5/2/2022 1:45,14.27,0.385936444
5/2/2022 2:00,14.265,0.385801217
5/2/2022 2:15,14.27,0.385936444
5/2/2022 2:30,14.26,0.385665991
5/2/2022 2:45,14.3,0.386747803
5/2/2022 3:00,14.27,0.385936444
5/2/2022 3:15,14.29,0.38647735
5/2/2022 3:30,14.245,0.385260311
5/2/2022 3:45,14.25,0.385395538
5/2/2022 4:00,14.39,0.38918188
5/2/2022 4:15,14.34,0.387829615
5/2/2022 4:30,14.36,0.388370521
5/2/2022 4:45,14.37,0.388640974
5/2/2022 5:00,14.315,0.387153482
5/2/2022 5:15,14.3,0.386747803
5/2/2022 5:30,14.29,0.38647735
5/2/2022 5:45,14.395,0.389317106
5/2/2022 6:00,14.485,0.391751183
5/2/2022 6:15,14.54,0.393238675
5/2/2022 6:30,14.605,0.394996619
5/2/2022 6:45,14.65,0.396213658
5/2/2022 7:00,14.655,0.396348884
5/2/2022 7:15,14.7,0.397565923
5/2/2022 7:30,14.675,0.39688979
5/2/2022 7:45,14.7,0.397565923
5/2/2022 8:00,14.625,0.395537525
5/2/2022 8:15,14.67,0.396754564
5/2/2022 8:30,14.68,0.397025017
5/2/2022 8:45,14.6,0.394861393
5/2/2022 9:00,14.67,0.396754564
5/2/2022 9:15,14.62,0.395402299
5/2/2022 9:30,14.32,0.387288709
5/2/2022 9:45,14.495,0.392021636
5/2/2022 10:00,14.565,0.393914807
5/2/2022 10:15,14.69,0.39729547
5/2/2022 10:30,14.71,0.397836376
5/2/2022 10:45,14.71,0.397836376
5/2/2022 11:00,14.68,0.397025017
5/2/2022 11:15,14.66,0.396484111
5/2/2022 11:30,14.675,0.39688979
5/2/2022 11:45,14.675,0.39688979
5/2/2022 12:00,14.69,0.39729547
5/2/2022 12:15,14.665,0.396619337
5/2/2022 12:30,14.68,0.397025017
5/2/2022 12:45,14.65,0.396213658
5/2/2022 13:00,14.66,0.396484111
5/2/2022 13:15,14.695,0.397430696
5/2/2022 13:30,14.74,0.398647735
5/2/2022 13:45,14.815,0.400676133
5/2/2022 14:00,14.83,0.401081812
5/2/2022 14:15,14.835,0.401217039
5/2/2022 14:30,14.9,0.402974983
5/2/2022 14:45,14.9,0.402974983
5/2/2022 15:00,14.345,0.387964841
5/2/2022 15:15,14.96,0.404597701
5/2/2022 15:30,14.945,0.404192022
5/2/2022 15:45,14.9,0.402974983
5/2/2022 16:00,14.82,0.400811359
5/2/2022 16:15,14.925,0.403651116
5/2/2022 16:30,14.93,0.403786342
5/2/2022 16:45,15.02,0.406220419
5/2/2022 17:00,15.055,0.407167005
5/2/2022 17:15,15.015,0.406085193
5/2/2022 17:30,15.06,0.407302231
5/2/2022 17:45,15.09,0.40811359
5/2/2022 18:00,14.48,0.391615957
5/2/2022 18:15,14.83,0.401081812
5/2/2022 18:30,15.12,0.408924949
5/2/2022 18:45,15.16,0.410006761
5/2/2022 19:00,15.165,0.410141988
5/2/2022 19:15,15.17,0.410277214
5/2/2022 19:30,15.11,0.408654496
5/2/2022 19:45,15.06,0.407302231
5/2/2022 20:00,15.04,0.406761325
5/2/2022 20:15,14.91,0.403245436
5/2/2022 20:30,14.8,0.400270453
5/2/2022 20:45,14.66,0.396484111
5/2/2022 21:00,14.575,0.39418526
5/2/2022 21:15,14.52,0.392697769
5/2/2022 21:30,14.47,0.391345504
5/2/2022 21:45,14.38,0.388911427
5/2/2022 22:00,14.39,0.38918188
5/2/2022 22:15,14.34,0.387829615
5/2/2022 22:30,14.33,0.387559162
5/2/2022 22:45,14.37,0.388640974
5/2/2022 23:00,14.39,0.38918188
5/2/2022 23:15,14.36,0.388370521
5/2/2022 23:30,14.395,0.389317106
5/2/2022 23:45,14.36,0.388370521
5/3/2022 0:00,14.39,0.38918188
5/3/2022 0:15,14.37,0.388640974
5/3/2022 0:30,14.38,0.388911427
5/3/2022 0:45,14.395,0.389317106
5/3/2022 1:00,14.38,0.388911427
5/3/2022 1:15,14.49,0.39188641
5/3/2022 1:30,14.53,0.392968222
5/3/2022 1:45,14.49,0.39188641
5/3/2022 2:00,14.52,0.392697769
5/3/2022 2:15,14.54,0.393238675
5/3/2022 2:30,14.52,0.392697769
5/3/2022 2:45,14.48,0.391615957
5/3/2022 3:00,14.485,0.391751183
5/3/2022 3:15,14.45,0.390804598
5/3/2022 3:30,14.43,0.390263692
5/3/2022 3:45,14.315,0.387153482
5/3/2022 4:00,14.33,0.387559162
5/3/2022 4:15,14.355,0.388235294
5/3/2022 4:30,14.34,0.387829615
5/3/2022 4:45,14.27,0.385936444
5/3/2022 5:00,14.29,0.38647735
5/3/2022 5:15,14.285,0.386342123
5/3/2022 5:30,14.25,0.385395538
5/3/2022 5:45,14.27,0.385936444
5/3/2022 6:00,14.41,0.389722786
5/3/2022 6:15,14.5,0.392156863
5/3/2022 6:30,14.55,0.393509128
5/3/2022 6:45,14.59576784,0.394746933
5/3/2022 7:00,14.62153569,0.395443832
5/3/2022 7:15,14.59730353,0.394788466
5/3/2022 7:30,14.58307138,0.394403553
5/3/2022 7:45,14.44383922,0.390637978
5/3/2022 8:00,14.52460707,0.392822368
5/3/2022 8:15,14.47037491,0.391355643
5/3/2022 8:30,14.41614275,0.389888918
5/3/2022 8:45,14.4119106,0.389774458
5/3/2022 9:00,14.40767844,0.389659998
5/3/2022 9:15,14.42344629,0.390086445
5/3/2022 9:30,14.37921413,0.388890173
5/3/2022 9:45,14.32498198,0.387423448
5/3/2022 10:00,14.25074982,0.385415817
5/3/2022 10:15,14.18651766,0.383678639
5/3/2022 10:30,14.09728551,0.381265328
5/3/2022 10:45,14.00805335,0.378852018
5/3/2022 11:00,13.9138212,0.376303481
5/3/2022 11:15,13.89958904,0.375918568
5/3/2022 11:30,13.71535689,0.370935954
5/3/2022 11:45,13.62112473,0.368387417
5/3/2022 12:00,13.47689257,0.364486614
5/3/2022 12:15,13.60266042,0.367888044
5/3/2022 12:30,13.43842826,0.363446336
5/3/2022 12:45,13.45419611,0.363872782
5/3/2022 13:00,13.39496395,0.36227083
5/3/2022 13:15,13.3207318,0.360263199
5/3/2022 13:30,13.26149964,0.358661248
5/3/2022 13:45,13.27726748,0.359087694
5/3/2022 14:00,13.33303533,0.360595952
5/3/2022 14:15,13.22880317,0.357776962
5/3/2022 14:30,13.18457102,0.35658069
5/3/2022 14:45,13.12033886,0.354843512
5/3/2022 15:00,13.15610671,0.355810864
5/3/2022 15:15,13.20187455,0.357048669
5/3/2022 15:30,13.16764239,0.35612285
